epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,255.888,1.05721,0.93087,1.06372,0.33608,0.20206,0.18256,0.08757,2.02307,2.29775,1.71624,0.0005941,0.0005941,0.0005941
43,261.969,1.06552,0.92792,1.07435,0.49318,0.20432,0.18583,0.08822,2.03685,2.32136,1.70988,0.0005842,0.0005842,0.0005842
44,268.045,1.04277,0.92234,1.05185,0.33088,0.20783,0.18736,0.09135,2.05836,2.22859,1.70966,0.0005743,0.0005743,0.0005743
45,274.128,1.03247,0.91007,1.05862,0.30279,0.20028,0.17374,0.07949,2.08211,2.32821,1.70927,0.0005644,0.0005644,0.0005644
46,280.153,1.03311,0.92992,1.06806,0.27862,0.20174,0.18789,0.09115,2.02502,2.23161,1.7041,0.0005545,0.0005545,0.0005545
47,286.239,1.01499,0.89302,1.0534,0.27606,0.18884,0.18045,0.08973,2.0089,2.27604,1.72057,0.0005446,0.0005446,0.0005446
48,292.335,1.02006,0.88951,1.05156,0.28015,0.19215,0.18362,0.08958,2.02576,2.21381,1.70921,0.0005347,0.0005347,0.0005347
49,298.41,1.01708,0.88627,1.04415,0.50629,0.19118,0.19266,0.09206,2.02961,2.227,1.70432,0.0005248,0.0005248,0.0005248
50,304.458,0.99856,0.8574,1.03767,0.30589,0.20791,0.197,0.09285,2.01136,2.17419,1.70707,0.0005149,0.0005149,0.0005149
51,310.605,0.99412,0.84393,1.03193,0.47893,0.19984,0.18861,0.08918,2.02119,2.1898,1.68148,0.000505,0.000505,0.000505
52,316.722,1.00042,0.84536,1.03525,0.4686,0.19971,0.18584,0.0914,2.01644,2.19691,1.6864,0.0004951,0.0004951,0.0004951
53,322.816,0.98828,0.85203,1.0333,0.47414,0.18927,0.18172,0.08819,1.99921,2.23422,1.67033,0.0004852,0.0004852,0.0004852
54,328.852,0.99139,0.85583,1.03626,0.3073,0.2146,0.19656,0.09265,2.02033,2.18042,1.68097,0.0004753,0.0004753,0.0004753
55,334.877,0.98325,0.83136,1.02875,0.43393,0.21403,0.20463,0.09959,2.0193,2.18857,1.71559,0.0004654,0.0004654,0.0004654
56,340.933,0.97225,0.84192,1.03191,0.30923,0.20828,0.19191,0.09195,1.99734,2.19131,1.70441,0.0004555,0.0004555,0.0004555
57,346.953,0.95213,0.82736,1.0162,0.39871,0.19306,0.19808,0.09438,2.00945,2.22052,1.70551,0.0004456,0.0004456,0.0004456
58,352.953,0.96336,0.8327,1.02564,0.34021,0.22609,0.2014,0.09575,2.02926,2.1664,1.70138,0.0004357,0.0004357,0.0004357
59,359.013,0.93429,0.78898,1.01386,0.52278,0.22094,0.20577,0.09978,2.00137,2.1723,1.66241,0.0004258,0.0004258,0.0004258
